date,signal_date,execution_price_mode,strategy_value,benchmark_value,strategy_flow,benchmark_flow,cash,cash_pct,spy_weight_actual,qqq_weight_actual,equity_exposure,multiplier,target_spy_weight,target_qqq_weight,core_spy_weight,core_qqq_weight,satellite_spy_weight,satellite_qqq_weight,panic_tier,satellite_signal,decision_cash_reservoir_pct,regime,reason,cape,vix,rsi14,spy_close,qqq_close,spy_trade_price,qqq_trade_price,trend_up,qqq_trend_up,spy_drawdown_252d,vix_sma20,spy_ret_21d,qqq_rel_63d,qqq_rel_126d,strategy_nav,benchmark_nav
2011-01-04,2011-01-03,next_open,99496.91751996816,99496.91751996816,0.0,0.0,0.0,0.0,0.5003950860554399,0.49960491394456,1.0,1.5,0.5,0.5,0.4,0.4,0.1,0.1,0,neutral_satellite,0.0,cheap,CAPE=22.4:cheap; neutral_satellite,22.396379773044213,17.61,76.10407284771237,96.87474822998047,48.41777801513672,97.14176676175708,48.62802160471259,True,True,0.0,17.269,0.04208723069786946,0.01812265684778791,0.044689231066913804,1.0,1.0
2011-01-05,2011-01-04,next_open,100178.44338445447,100178.44338445447,0.0,0.0,0.0,0.0,0.49957423812319685,0.5004257618768032,1.0,1.5,0.5,0.5,0.4,0.4,0.1,0.1,0,neutral_satellite,0.0,cheap,CAPE=22.4:cheap; neutral_satellite,22.396379773044213,17.38,75.2774215642908,97.37831115722656,48.82952117919922,96.56962444005148,48.268863678655464,True,True,-0.0005512189708113402,17.237000000000002,0.03871577368803458,0.013765086124791326,0.044075833135541975,1.0068497183779541,1.0068497183779541
2011-01-06,2011-01-05,next_open,102239.08501824748,102239.08501824748,2000.0,2000.0,0.0,0.0,0.4982897256988228,0.5017102743011771,1.0,1.5,0.5,0.5,0.4,0.4,0.1,0.1,0,neutral_satellite,0.01957360020131489,cheap,CAPE=22.4:cheap; neutral_satellite,22.396379773044213,17.02,77.7324224398772,97.18755340576172,48.9871940612793,97.41642979130452,48.88207225949337,True,True,0.0,17.188499999999998,0.0452204937596663,0.02589433284948628,0.05213098354185641,1.0074592009157506,1.0074592009157506
2011-01-07,2011-01-06,next_open,102093.24056498919,102093.24056498919,0.0,0.0,0.0,0.0,0.4980223191308714,0.5019776808691285,1.0,1.5,0.5,0.5,0.4,0.4,0.1,0.1,0,neutral_satellite,0.0,cheap,CAPE=22.4:cheap; neutral_satellite,22.396379773044213,17.4,74.70602041661567,96.99683380126953,48.94338607788086,97.31725611356775,49.07479081626851,True,True,-0.0019589346867686652,17.171499999999998,0.042578490070123376,0.02623111244814047,0.05546637715623537,1.0060220564390432,1.0060220564390432
2011-01-10,2011-01-07,next_open,102221.86873366463,102221.86873366463,0.0,0.0,0.0,0.0,0.4967695963698508,0.5032304036301493,1.0,1.5,0.5,0.5,0.4,0.4,0.1,0.1,0,neutral_satellite,0.0,cheap,CAPE=22.4:cheap; neutral_satellite,22.396379773044213,17.14,71.70033564249042,96.87474822998047,49.12734603881836,96.56958169913543,48.838256994268974,True,True,-0.003917477633608724,17.166,0.03673420427177687,0.026031015860992435,0.0542091064990855,1.0072895524461318,1.0072895524461318
2011-01-11,2011-01-10,next_open,102475.24328966645,102475.24328966645,0.0,0.0,0.0,0.0,0.4972976202086391,0.502702379791361,1.0,1.5,0.45,0.55,0.4,0.4,0.05,0.15,0,qqq_mild_strength_satellite_qqq_tilt,0.0,cheap,CAPE=22.4:cheap; qqq_mild_strength_satellite_qqq_tilt,22.396379773044213,17.54,69.76533463032867,97.21809387207031,49.19744110107422,97.22572463889638,49.328845859880296,True,True,-0.005171202100979544,17.1625,0.03141370230036333,0.03174435737201731,0.061730102968088785,1.0097862935669706,1.0097862935669706
2011-01-12,2011-01-11,next_open,103302.04293258039,103302.04293258039,0.0,0.0,0.0,0.0,0.49776928564258355,0.5022307143574164,1.0,1.5,0.5,0.5,0.4,0.4,0.1,0.1,0,neutral_satellite,0.0,cheap,CAPE=22.4:cheap; neutral_satellite,22.396379773044213,16.89,72.04985948077743,98.09542846679688,49.547847747802734,97.81315417037231,49.433963855058224,True,True,-0.00164530769996174,17.1295,0.029082681907586228,0.02573715462495385,0.05404566794649046,1.0179335388931472,1.0179335388931472
2011-01-13,2011-01-12,next_open,105231.0337181737,105231.0337181737,2000.0,2000.0,0.0,0.0,0.497316007638843,0.502683992361157,1.0,1.5,0.5,0.5,0.4,0.4,0.1,0.1,0,neutral_satellite,0.018992983842492966,cheap,CAPE=22.4:cheap; neutral_satellite,22.396379773044213,16.24,76.86105193933719,97.9352035522461,49.565372467041016,98.13356851517072,49.58288998258717,True,True,0.0,17.061,0.03770244983723314,0.023392191947506413,0.051423397737366816,1.0172338173884892,1.0172338173884892
2011-01-14,2011-01-13,next_open,106002.8487637919,106002.8487637919,0.0,0.0,0.0,0.0,0.4972717196900484,0.5027282803099515,1.0,1.5,0.5,0.5,0.4,0.4,0.1,0.1,0,neutral_satellite,0.0,cheap,CAPE=22.4:cheap; neutral_satellite,22.396379773044213,16.39,74.34415719336417,98.64472198486328,49.93330764770508,97.79788749896363,49.58289713452503,True,True,-0.00163335760957517,16.9835,0.03509341759938045,0.023455345165655173,0.05362113152007897,1.024694699767301,1.024694699767301
2011-01-18,2011-01-14,next_open,106242.13158327388,106242.13158327388,0.0,0.0,0.0,0.0,0.49699599831210495,0.503004001687895,1.0,1.5,0.5,0.5,0.4,0.4,0.1,0.1,0,neutral_satellite,0.0,cheap,CAPE=23.0:cheap; neutral_satellite,22.978299430554983,15.46,77.80948572738004,98.81257629394531,50.07347106933594,98.5531768133287,49.55661740155464,True,True,0.0,16.887,0.04738123119834192,0.004412437567430594,0.05102482176783818,1.0270077681397833,1.0270077681397833
